S.No,Entry Signal,Exit Signal,Section Type,Line,TSRMS Route Id,Signal Type,Aspects of Entry Signal (Derived for Auto Signal),Requires Aspect of Exit Signal,Requires Points in Route,-,"Requires Track Circuit ""UP"" in Route",TIN's(TrackIdentificationNumber)RequiresFree,TIN'sRequiresFreeInOverlap,CheckRFIDSequence,-,DistanceBetweenEntry&ExitSignal(Meter),MovementAuthorityFromFootofEntrySignal(inSections),Authorized Speed (kmph) In OS,Track Profile Id,TLI Profile ID,EntrySignal,ExitSignal,Profile Id,Line,Turnout Speed,-,-,Permanent Speed Restriction,-,-,-,-,-,-,-,Gradient,-,-,LC Gate,-,-,-,-,-,-,Track Condition,-,-
-,-,-,-,-,-,-,-,-,-,Normal,Reverse,-,-,-,EntrySignalFootTag,(LinkingDistance#En-RouteTag),-,-,-,-,-,-,-,-.1,Speed Value (kmph),Start Distance (m),Length (m),U Speed,A Speed,B Speed,C Speed,Start Distance (m).1,Speed Length (m),Ref Tag ID,Span,Gradient Type (Downhill/ Uphill),Gradient Value,Length (m).1,LC ID Numeric/LC ID Alpha suffix,LC Alpha ID,LC Manning Type,"LC Class (Special, A, B, B1, C etc)",LC Distance (m),LC Auto Whistling Enabled,LC Auto Whistling Type,Track Condition Type(Radio Hole/ Non stopping/Neutral section/Reversing area/Fouling Mark),Start Distance (m).2,Length (m).2
,-,-,-,-,-,-,Yellow,Red,-,-,-,-,-,-,-,-,1,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Red/Blank,-,-,-,-,-,-,-,-,-,1,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25.0,S9A,S13,Station,Down Main,-,Calling-on Signal,Miniature(Red/Blank),Red/Blank,54#55#57#60(63W 61N),56#58#59#62,R&DT(Occupied),-,-,R-204,(0#R-204)#(94#R-258)#(68#R-259)#(93#R-260)#(167#R-261)#(65#R-165)#(120#R-167),607,1,15,25,25,S9A,S13,25,R&D Line,15,0,474,15,-,-,-,0,474,204,607,Fall,1 in 480,607,,,,,,,,,,
26.0,S10,S13,Station,Down Main,-,LoopLine Starter,Yellow,Green,53#57#60(63W 61N),54#55#56#58#59#62,-,N-183#N-179#N-175#N-170,-,R-212,(0#R-212)#(85#R-256)#(62#R-258)#(68#R-259)#(93#R-260)#(167#R-261)#(65#R-165)#(120#R-167),660,4,15,26,26,S10,S13,26,Goods Loop 2,15,0,527,15,-,-,-,0,527,212,660,Fall,1 in 484,660,,,,,,,,,,
,-,-,-,-,-,-,Yellow,Double Yellow,-,-,-,-,-,-,-,-,3,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Yellow,-,-,-,-,-,-,-,-,2,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Red,-,-,-,-,-,-,-,-,1,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Red/Blank,-,-,-,-,-,-,-,-,-,1,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27.0,S10A,S13,Station,Down Main,-,Calling-on Signal,Miniature(Red/Blank),Red/Blank,53#57#60(63W 61N),54#55#56#58#59#62,GL2T(Occupied),-,-,R-212,(0#R-212)#(85#R-256)#(62#R-258)#(68#R-259)#(93#R-260)#(167#R-261)#(65#R-165)#(120#R-167),660,1,15,27,27,S10A,S13,27,Goods Loop 2,15,0,527,15,-,-,-,0,527,212,660,Fall,1 in 484,660,,,,,,,,,,
28.0,S11,S13,Station,Down Main,-,LoopLine Starter,Yellow,Green,54#57#60(63W 61N),53#55#56#58#59#62,-,N-183#N-179#N-175#N-170,-,R-216,(0#R-216)#(85#R-255)#(41#R-256)#(62#R-258)#(68#R-259)#(93#R-260)#(167#R-261)#(65#R-165)#(120#R-167),701,4,15,28,28,S11,S13,28,Goods Loop 1,15,0,568,15,-,-,-,0,568,216,701,Fall,1 in 479,701,,,,,,,,,,
,-,-,-,-,-,-,Yellow,Double Yellow,-,-,-,-,-,-,-,-,2,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Yellow,-,-,-,-,-,-,-,-,2,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Red,-,-,-,-,-,-,-,-,1,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Red/Blank,-,-,-,-,-,-,-,-,-,1,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29.0,S11A,S13,Station,Down Main,-,Calling-on Signal,Miniature(Red/Blank),Red/Blank,54#57#60(63W 61N),53#55#56#58#59#62,GL1T(Occupied),-,-,R-216,(0#R-216)#(85#R-255)#(41#R-256)#(62#R-258)#(68#R-259)#(93#R-260)#(167#R-261)#(65#R-165)#(120#R-167),701,1,15,29,29,S11A,S13,29,Goods Loop 1,15,0,568,15,-,-,-,0,568,216,701,Fall,1 in 479,701,,,,,,,,,,
30.0,S12,S13,Station,Down Main,-,MainLine Starter,Green,Green,57#62,-,-,N-169#N-170,-,R-161,(0#R-161)#(215#R-163)#(294#R-165)#(120#R-167),629,4,MPS,30,30,S12,S13,30,Down Main,-,-,-,75,-,-,-,0,629,161,629,Fall,1 in 486,629,,,,,,,,,,
,-,-,-,-,-,-,Green,Double Yellow,-,-,-,-,-,-,-,-,3,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Green,Yellow,-,-,-,-,-,-,-,-,2,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Double Yellow,Green,-,-,-,-,-,-,-,-,4,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Double Yellow,Double Yellow,-,-,-,-,-,-,-,-,3,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Double Yellow,Yellow,-,-,-,-,-,-,-,-,2,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Green,-,-,-,-,-,-,-,-,2,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Double Yellow,-,-,-,-,-,-,-,-,3,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Yellow,-,-,-,-,-,-,-,-,2,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Red,-,-,-,-,-,-,-,-,1,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Red/Blank,-,-,-,-,-,-,-,-,-,1,15,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31.0,S12A,S13,Station,Down Main,-,Calling-on Signal,Miniature(Red/Blank),Red/Blank,57#62,-,DMT(Occupied),-,-,R-161,(0#R-161)#(215#R-163)#(294#R-165)#(120#R-167),629,1,15,31,31,S12A,S13,31,Down Main,-,-,-,75,-,-,-,0,629,161,629,Fall,1 in 486,629,,,,,,,,,,
32.0,S13,S2079,Auto,Down Main,-,Advance Starter,Green,Green,-,-,-,-,-,R-167,(0#R-167)#(100#R-835)#(725#R-837)#(200#R-839),1025,4,MPS,32,32,S13,S2079,32,Down Main,-,-,-,75,-,-,-,0,218,167,1025,Fall,1 in 105,1025,,,,,,,,,,
,-,-,-,-,-,-,Green,Double Yellow,-,-,-,-,-,-,-,-,3,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Green,Yellow,-,-,-,-,-,-,-,-,2,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Double Yellow,Green,-,-,-,-,-,-,-,-,4,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Double Yellow,Double Yellow,-,-,-,-,-,-,-,-,3,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Double Yellow,Yellow,-,-,-,-,-,-,-,-,2,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Green,-,-,-,-,-,-,-,-,4,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Double Yellow,-,-,-,-,-,-,-,-,2,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Yellow,-,-,-,-,-,-,-,-,2,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Red,-,-,-,-,-,-,-,-,1,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Red/Blank,-,-,-,-,-,-,-,-,-,1,15,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33.0,S81,S2038(2),Auto,MMTS Up Main,-,Advance Starter,Green,Green,-,-,-,-,-,R-138,(0#R-138)#(100#R-810)#(767#R-808)#(200#R-806),1067,4,MPS,33,33,S81,S2038(2),33,MMTS Up Main,-,-,-,120,-,-,-,0,1067,138,1067,Raise,1 in 100,593,,,,,,,,,,
,-,-,-,-,-,-,Green,Double Yellow,-,-,-,-,-,-,-,-,3,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Green,Yellow,-,-,-,-,-,-,-,-,2,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Double Yellow,Green,-,-,-,-,-,-,-,-,4,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Double Yellow,Double Yellow,-,-,-,-,-,-,-,-,3,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Double Yellow,Yellow,-,-,-,-,-,-,-,-,2,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Green,-,-,-,-,-,-,-,-,4,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Double Yellow,-,-,-,-,-,-,-,-,3,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Yellow,-,-,-,-,-,-,-,-,2,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Red,-,-,-,-,-,-,-,-,1,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Red/Blank,-,-,-,-,-,-,-,-,-,1,15,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34.0,S82,S81,Station,MMTS Up Main,-,MainLine Starter,Green,Green,39#37,-,-,N-161#N-159,-,R-144,(0#R-144)#(170#R-142)#(144#R-140)#(120#R-138),434,4,MPS,34,34,S82,S81,34,MMTS Up Main,-,-,-,120,-,-,-,0,434,144,434,Raise,1 in 173,434,,,,,,,,,,
,-,-,-,-,-,-,Green,Double Yellow,-,-,-,-,-,-,-,-,3,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Green,Yellow,-,-,-,-,-,-,-,-,2,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Double Yellow,Green,-,-,-,-,-,-,-,-,4,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Double Yellow,Double Yellow,-,-,-,-,-,-,-,-,3,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Double Yellow,Yellow,-,-,-,-,-,-,-,-,2,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Green,-,-,-,-,-,-,-,-,4,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Double Yellow,-,-,-,-,-,-,-,-,3,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Yellow,-,-,-,-,-,-,-,-,2,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Red,-,-,-,-,-,-,-,-,1,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Red/Blank,-,-,-,-,-,-,-,-,-,1,15,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35.0,S82A,S81,Station,MMTS Up Main,-,Calling-on Signal,Miniature(Red/Blank),Red/Blank,39#37,-,MMTS_UMBT(occupied),-,-,R-144,(0#R-144)#(170#R-142)#(144#R-140)#(120#R-138),434,1,15,35,35,S82A,S81,35,MMTS Up Main,-,-,-,120,-,-,-,0,434,144,434,Raise,1 in 173,434,,,,,,,,,,
36.0,S86,S2038(1),Auto,Up Main,-,Advance Starter,Green,Green,-,-,-,-,-,R-156,(0#R-74)#(100#R-72)#(961#R-16)#(200#R-14),1261,4,MPS,36,36,S86,S2038(1),36,Up Main,-,-,-,120,-,-,-,0,1261,156,1261,Raise,1 in 100,693,,,,,,,,,,
,-,-,-,-,-,-,Green,Double Yellow,-,-,-,-,-,-,-,-,3,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Green,Yellow,-,-,-,-,-,-,-,-,2,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Double Yellow,Green,-,-,-,-,-,-,-,-,4,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Double Yellow,Double Yellow,-,-,-,-,-,-,-,-,3,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Double Yellow,Yellow,-,-,-,-,-,-,-,-,2,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Green,-,-,-,-,-,-,-,-,4,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Double Yellow,-,-,-,-,-,-,-,-,3,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Yellow,-,-,-,-,-,-,-,-,2,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Red,-,-,-,-,-,-,-,-,1,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Red/Blank,-,-,-,-,-,-,-,-,-,1,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37.0,S87,S86,Station, Up Main,-,MainLine Starter,Green,Green,38#40,-,-,N-173#N-171,-,R-162,(0#R-162)#(130#R-160)#(118#R-158)#(120#R-156),368,4,MPS,37,37,S87,S86,37,Up Main,-,-,-,120,-,-,-,0,368,162,368,Raise,1 in 190,368,,,,,,,,,,
,-,-,-,-,-,-,Green,Double Yellow,-,-,-,-,-,-,-,-,3,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Green,Yellow,-,-,-,-,-,-,-,-,2,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Double Yellow,Green,-,-,-,-,-,-,-,-,4,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Double Yellow,Double Yellow,-,-,-,-,-,-,-,-,3,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Double Yellow,Yellow,-,-,-,-,-,-,-,-,2,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Green,-,-,-,-,-,-,-,-,4,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Double Yellow,-,-,-,-,-,-,-,-,2,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Yellow,-,-,-,-,-,-,-,-,2,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Red,-,-,-,-,-,-,-,-,1,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Red/Blank,-,-,-,-,-,-,-,-,-,1,15,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38.0,S87A,S86,Station, Up Main,-,Calling-on Signal,Miniature(Red/Blank),Red/Blank,38#40,-, UMT(Occupied),-,-,R-162,(0#R-162)#(130#R-160)#(118#R-158)#(120#R-156),368,1,15,38,38,S87A,S86,38,Up Main,-,-,-,120,-,-,-,0,368,162,368,Raise,1 in 190,368,,,,,,,,,,
39.0,S88,S86,Station, Up Main,-,LoopLine Starter,Yellow,Green,38#43#44#41,40,-,N-177#N-173#N-171,-,R-185,(0#R-185)#(199#R-245)#(59#R-160)#(118#R-158)#(120#R-156),496,4,30,39,39,S88,S86,39,Common Loop 1,30,0,255,30,-,-,-,0,255,185,496,Raise,1 in 227,496,,,,,,,,,,
,-,-,-,-,-,-,Yellow,Double Yellow,-,-,-,-,-,-,-,-,3,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Yellow,-,-,-,-,-,-,-,-,2,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Red,-,-,-,-,-,-,-,-,1,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Red/Blank,-,-,-,-,-,-,-,-,-,1,15,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40.0,S88A,S86,Station,Up Main,-,Calling-on Signal,Miniature(Red/Blank),Red/Blank,38#43#44#41,40,CL1T(Occupied),-,-,R-185,(0#R-185)#(199#R-245)#(59#R-160)#(118#R-158)#(120#R-156),496,1,15,40,40,S88A,S86,40,Common Loop 1,30,0,255,30,-,-,-,0,255,185,496,Raise,1 in 227,496,,,,,,,,,,
41.0,S89,S86,Station,Up Main,-,LoopLine Starter,Yellow,Green,38#41#43,40#44,-,N-177#N-173#N-171,-,R-193,(0#R-193)#(63#R-246)#(136#R-245)#(59#R-160)#(118#R-158)#(120#R-156),496,4,15,41,41,S89,S86,41,Common Loop 2,30,0,153,30,-,-,-,0,153,193,496,Raise,1 in 227,496,,,,,,,,,,
,-,-,-,-,-,-,Yellow,Double Yellow,-,-,-,-,-,-,-,-,3,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Yellow,-,-,-,-,-,-,-,-,2,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Red,-,-,-,-,-,-,-,-,1,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Red/Blank,-,-,-,-,-,-,-,-,-,1,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42.0,S89A,S86,Station,Up Main,-,Calling-on Signal,Miniature(Red/Blank),Red/Blank,38#41#43,40#44,CL2T(Occupied),-,-,R-193,(0#R-193)#(63#R-246)#(136#R-245)#(59#R-160)#(118#R-158)#(120#R-156),496,1,15,42,42,S89A,S86,42,Common Loop 2,30,0,153,30,-,-,-,0,153,193,496,Raise,1 in 227,496,,,,,,,,,,
43.0,S90,S86,Station,Up Main,-,LoopLine Starter,Yellow,Green,38#41#45#49,40#43,-,N-181#N-177#N-173#N-171,-,R-201,(0#R-201)#(85#R-247)#(114#R-245)#(59#R-160)(118#R-158)#(120#R-156),496,4,15,43,43,S90,S86,43,R&D Line,30,0,153,30,-,-,-,0,153,201,496,Raise,1 in 227,496,,,,,,,,,,
,-,-,-,-,-,-,Yellow,Double Yellow,-,-,-,-,-,-,-,-,2,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Yellow,-,-,-,-,-,-,-,-,2,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Yellow,Red,-,-,-,-,-,-,-,-,1,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,Red/Blank,-,-,-,-,-,-,-,-,-,1,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44.0,S90A,S86,Station,Up Main,-,Calling-on Signal,Miniature(Red/Blank),Red/Blank,38#41#45#49,40#43,R&DT(Occupied),-,-,R-201,(0#R-201)#(85#R-247)#(114#R-245)#(59#R-160)(118#R-158)#(120#R-156),496,1,15,44,44,S90A,S86,44,R&D Line,30,0,153,30,-,-,-,0,153,201,496,Raise,1 in 227,496,,,,,,,,,,
45.0,S99,S90,Station,R and D line,-,Main Home with Junction Route Indicator,Yellow with Pos 1,Red,53#54#55#60#62(63W 61N),56#58#59,R&DT,N-175#N-179#N-183#N-182,N-181#N-177(W43R),R-172,(0#R-172)#(300#R-170)#(212#R-260)#(93#R-259)#(68#R-258)#(94#R-204)#(200#R-203)#(237#R-202)#(200#R-201),1404,1,15,45,45,S99,S90,45,R&D Line,30,0,114,30,-,-,-,0,572,172,1404,Raise,1 in 377,1404,,,,,,,,Fouling Mark,760,0
46.0,S99,S89,Station,COMMON LOOP 2,-,Main Home with Junction Route Indicator,Yellow with Pos 1,Yellow,56#62(63W 61N),58#59,CL2T,N-175#N-179#N-180,N-177,R-172,(0#R-172)#(300#R-170)#(212#R-260)#(93#R-259)#(113#R-196)#(200#R-195)#(286#R-194)#(200#R-193),1404,2,15,46,46,S99,S89,46,Common Loop 2,30,0,114,30,-,-,-,0,572,172,1404,Raise,1 in 377,1404,,,,,,,,Fouling Mark,688,0
,-,-,-,-,-,-,Yellow with Pos 1,Red,-,-,-,-,-,-,-,-,1,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47.0,S99,S88,Station,COMMON LOOP 1,-,Main Home with Junction Route Indicator,Yellow with Pos 1,Yellow,56#58#62(63W 61N),59,CL1T,N-175#N-179#N-178,N-177,R-172,(0#R-172)#(300#R-170)#(212#R-260)#(81#R-189)(125#R-188)#(200#R-187)#(286#R-186)#(200#R-185),1404,2,15,47,47,S99,S88,47,Common Loop 1,30,458,946,75,-,-,-,0,458,172,1404,Raise,1 in 377,1404,,,,,,,,Fouling Mark,693,0
,-,-,-,-,-,-,Yellow with Pos 1,Red,-,-,-,-,-,-,-,-,1,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
48.0,S99,S87,Station,Up Main,-,Main Home with Junction Route Indicator,Green,Green,59#62,-,UMAT#UMBT,N-175#N-174,N-173,R-172,(0#R-172)#(300#R-170)#(272#R-168)#(200#R-166)#(560#R-164)#(200#R-162),1532,4,MPS,48,48,S99,S87,48,Up Main,-,-,-,75,-,-,-,0,779,172,1532,Raise,1 in 379,1532,,,,,,,,Fouling Mark,566,0
,-,-,-,-,-,-,Green,Double Yellow,-,-,-,-,-,-,-,-,3,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
